salary,income,propvalue
31221,24487,62678
34860,29777,130910
30155,23161,51645
32273,21792,88453
32876,24446,65550
33142,18394,44138
30919,26428,88789
32850,28228,82707
34750,23812,56333
34224,22448,56411
34430,24189,53923
32166,25223,76878
39352,25586,117545
33433,27135,105588
37084,23849,74601
36042,19529,72425
27144,19854,802081
31159,25079,53948
32499,23408,60896
32353,23826,69432
35982,26706,107547
31310,23396,48638
33166,22405,57221
33690,24596,69320
31821,26175,55478
28411,24709,49606
30330,28718,77503
33447,28964,151992
31241,23904,69242
30738,24305,78102
28986,23754,69347
35879,24269,92648
28479,23029,52655
30907,20418,61155
30904,24723,57685
31895,23061,63134
32773,25304,84245
31324,23962,49709
30838,22942,63103
32164,24025,66912
35042,23304,58832
37145,21551,72266
43256,45723,122356
35617,29215,88004
39684,32114,101503
41634,27604,117921
35848,24525,123599
39155,23507,102485
34437,26048,98346
36190,21079,62668
42734,23899,237206
34971,21325,182360
34661,25321,53120
39542,20941,129961
30242,19266,426419
32928,22677,46163
26125,24128,46582
30476,23562,55568
28962,24456,44267
28945,23625,37277
31185,25363,64288
27693,23806,55446
30282,20941,62648
31244,23312,46098
30765,22678,55933
37759,22327,74874
32296,26460,90484
33998,23854,55724
27466,22103,37269
29940,22656,50895
28195,23208,50712
30644,22103,72201
29099,23314,41376
35513,21246,65291
34241,20809,62268
33885,22728,67932
30833,23035,38462
31582,21302,40239
32643,22607,81152
31978,21871,59396
33243,20787,44383
28975,22429,54040
33855,24084,65532
40320,32773,97888
30434,22179,47644
37983,21307,84682
36065,24614,57601
35536,25905,77077
35742,25043,67929
38046,23559,95859
39476,25360,123725
29579,22075,58383
32778,21063,68348
30968,21658,51497
