I,T,C,Q,PF,LF,ln_C,ln_Q,ln_PF,ln_LF
1,1,1140640,0.952757,106650,0.534487,13.94710007,-0.048395392,11.57730772,-0.626447871
1,2,1215690,0.986757,110307,0.532328,14.01082237,-0.01333147,11.61102267,-0.630495438
1,3,1309570,1.09198,110574,0.547736,14.0852094,0.087992562,11.61344026,-0.60196186
1,4,1511530,1.17578,121974,0.540846,14.22863294,0.161931757,11.71156319,-0.614620699
1,5,1676730,1.16017,196606,0.591167,14.33235603,0.148566546,12.18895701,-0.52565673
1,6,1823740,1.17376,265609,0.575417,14.4163999,0.160212271,12.48978058,-0.552660284
1,7,2022890,1.29051,263451,0.594495,14.52003774,0.255037489,12.48162267,-0.520042973
1,8,2314760,1.39067,316411,0.597409,14.65481657,0.329785645,12.66479728,-0.515153308
1,9,2639160,1.61273,384110,0.638522,14.78597124,0.477928395,12.85868425,-0.448599148
1,10,3247620,1.82544,569251,0.676287,14.99343298,0.601821054,13.25207674,-0.391137737
1,11,3787750,1.54604,871636,0.605735,15.14728273,0.435696823,13.67812718,-0.501312682
1,12,3867750,1.5279,997239,0.61436,15.1681835,0.423894244,13.81274574,-0.487174203
1,13,3996020,1.6602,938002,0.633366,15.20080942,0.506938077,13.75150736,-0.456706825
1,14,4282880,1.82231,859572,0.650117,15.27013624,0.600104927,13.66418987,-0.430602932
1,15,4748320,1.93646,823411,0.625603,15.37330143,0.660861564,13.62121075,-0.469039294
2,1,569292,0.520635,103795,0.490851,13.25214876,-0.652706059,11.55017308,-0.71161466
2,2,640614,0.534627,111477,0.473449,13.37018237,-0.626185972,11.62157357,-0.747711081
2,3,777655,0.655192,118664,0.503013,13.56403826,-0.422826957,11.68405125,-0.687139264
2,4,999294,0.791575,114797,0.512501,13.81480431,-0.233730647,11.65092063,-0.668452617
2,5,1203970,0.842945,215322,0.566782,14.00113499,-0.170853566,12.27988986,-0.567780529
2,6,1358100,0.852892,281704,0.558133,14.12159722,-0.159122351,12.54861215,-0.583157994
2,7,1501350,0.922843,304818,0.558799,14.22187526,-0.080296156,12.62747016,-0.581965441
2,8,1709270,1,348609,0.57207,14.35157694,0,12.76170623,-0.558493917
2,9,2025400,1.19845,374579,0.624763,14.52127777,0.181029055,12.83355801,-0.470382901
2,10,2548370,1.34067,544109,0.628706,14.7509645,0.293169489,13.20690487,-0.46409154
2,11,3137740,1.32624,853356,0.58915,14.95901335,0.282347871,13.65693209,-0.529074459
2,12,3557700,1.24852,1003200,0.532612,15.08462483,0.22195885,13.81870545,-0.629962075
2,13,3717740,1.25432,941977,0.526652,15.12862651,0.226593593,13.75573614,-0.64121529
2,14,3962370,1.37177,856533,0.540163,15.19235289,0.316101877,13.66064812,-0.615884333
2,15,4209390,1.38974,821361,0.528775,15.2528283,0.329116679,13.618718,-0.637192268
3,1,286298,0.262424,118788,0.524334,12.56478851,-1.337793763,11.68509567,-0.645626393
3,2,309290,0.266433,123798,0.537185,12.64203463,-1.322632474,11.72640648,-0.621412737
3,3,342056,0.306043,122882,0.582119,12.74272975,-1.184029664,11.71897982,-0.541080385
3,4,374595,0.325586,131274,0.579489,12.83360072,-1.122128643,11.78504202,-0.545608598
3,5,450037,0.345706,222037,0.606592,13.01708508,-1.062166576,12.31059931,-0.499898872
3,6,510412,0.367517,278721,0.60727,13.14297352,-1.000985703,12.53796656,-0.498781776
3,7,575347,0.409937,306564,0.582425,13.26272862,-0.89175179,12.63318182,-0.540554857
3,8,669331,0.448023,356073,0.573972,13.41403399,-0.802910709,12.78289104,-0.555174664
3,9,783799,0.539595,378311,0.654256,13.57190789,-0.616936421,12.84347189,-0.424256567
