Percentage,Class
10,Afternoon
10,Afternoon
10,Afternoon
12,Morning
13,Afternoon
15,Afternoon
15,Afternoon
19,Afternoon
20,Morning
20,Morning
20,Morning
20,Afternoon
20,Afternoon
25,Morning
25,Afternoon
33,Afternoon
35,Morning
35,Afternoon
36,Afternoon
40,Morning
40,Morning
40,Morning
40,Afternoon
45,Afternoon
50,Morning
55,Morning
55,Morning
60,Morning
60,Morning
60,Morning
60,Morning
60,Afternoon
65,Morning
67,Morning
70,Afternoon
75,Morning
80,Morning
83,Morning
85,Afternoon
92,Afternoon
93,Afternoon
100,Morning
