DATE,DPI
1947-01-01,170.989
1947-04-01,170.412
1947-07-01,178.041
1947-10-01,179.846
1948-01-01,185.423
1948-04-01,193.19
1948-07-01,199.361
1948-10-01,199.856
1949-01-01,194.411
1949-04-01,194.167
1949-07-01,194.274
1949-10-01,195.19
1950-01-01,209.866
1950-04-01,210.226
1950-07-01,217.309
1950-10-01,222.567
1951-01-01,229.935
1951-04-01,236.959
1951-07-01,239.983
1951-10-01,242.712
1952-01-01,243.603
1952-04-01,246.634
1952-07-01,253.244
1952-10-01,259.116
1953-01-01,263.286
1953-04-01,267.131
1953-07-01,267.312
1953-10-01,267.572
1954-01-01,270.296
1954-04-01,270.192
1954-07-01,272.157
1954-10-01,277.09
1955-01-01,282.52
1955-04-01,289.051
1955-07-01,295.529
1955-10-01,299.805
1956-01-01,304.135
1956-04-01,309.099
1956-07-01,313.701
1956-10-01,320.348
1957-01-01,324.179
1957-04-01,328.541
1957-07-01,332.983
1957-10-01,332.703
1958-01-01,334.244
1958-04-01,337.089
1958-07-01,344.14
1958-10-01,348.233
1959-01-01,353.634
1959-04-01,360.706
1959-07-01,362.351
1959-10-01,366.933
1960-01-01,371.809
1960-04-01,376.097
1960-07-01,378.212
1960-10-01,379.743
1961-01-01,384.139
1961-04-01,389.955
1961-07-01,396.568
1961-10-01,404.67
1962-01-01,410.327
1962-04-01,416.111
1962-07-01,419.364
1962-10-01,424.328
1963-01-01,429.172
1963-04-01,433.795
1963-07-01,440.663
1963-10-01,449.518
1964-01-01,460.55
1964-04-01,474.004
1964-07-01,481.748
1964-10-01,488.849
1965-01-01,496.179
1965-04-01,504.323
1965-07-01,520.063
1965-10-01,532.157
1966-01-01,541.61
1966-04-01,547.482
1966-07-01,558.405
1966-10-01,569.276
1967-01-01,579.473
1967-04-01,586.742
1967-07-01,597.73
1967-10-01,607.193
1968-01-01,624.074
1968-04-01,640.936
1968-07-01,649.143
1968-10-01,660.843
1969-01-01,668.721
1969-04-01,684.766
1969-07-01,707.85
1969-10-01,721.675
1970-01-01,737.189
1970-04-01,754.131
1970-07-01,773.379
1970-10-01,781.41
1971-01-01,804.631
1971-04-01,825.671
1971-07-01,838.197
1971-10-01,853.224
1972-01-01,866.178
1972-04-01,880.089
1972-07-01,904.924
1972-10-01,948.551
1973-01-01,966.902
1973-04-01,993.408
1973-07-01,1015.959
1973-10-01,1048.213
1974-01-01,1061.597
1974-04-01,1081.469
1974-07-01,1111.7
1974-10-01,1138.457
1975-01-01,1157.933
1975-04-01,1226.477
1975-07-01,1231.254
1975-10-01,1261.488
1976-01-01,1290.456
1976-04-01,1308.055
1976-07-01,1337.692
1976-10-01,1366.91
1977-01-01,1391.164
1977-04-01,1432.595
1977-07-01,1476.478
1977-10-01,1526.535
1978-01-01,1562.876
1978-04-01,1610.855
1978-07-01,1651.029
1978-10-01,1695.518
1979-01-01,1745.731
1979-04-01,1777.854
1979-07-01,1830.535
1979-10-01,1883.009
1980-01-01,1945.976
1980-04-01,1964.614
1980-07-01,2035.013
1980-10-01,2126.202
1981-01-01,2173.012
1981-04-01,2208.757
1981-07-01,2290.864
1981-10-01,2330.261
1982-01-01,2362.593
1982-04-01,2398.832
1982-07-01,2449.613
1982-10-01,2487.935
1983-01-01,2530.931
1983-04-01,2572.389
1983-07-01,2645.626
1983-10-01,2720.649
1984-01-01,2806.259
1984-04-01,2880.722
1984-07-01,2942.92
1984-10-01,2985.638
1985-01-01,3014.136
1985-04-01,3098.044
1985-07-01,3112.238
1985-10-01,3169.669
1986-01-01,3232.174
1986-04-01,3271.242
1986-07-01,3311.167
1986-10-01,3336.948
1987-01-01,3400.408
1987-04-01,3399.48
1987-07-01,3493.721
1987-10-01,3571.504
1988-01-01,3651.711
1988-04-01,3729.95
1988-07-01,3812.279
1988-10-01,3887.677
1989-01-01,3979.809
1989-04-01,4020.952
1989-07-01,4071.453
1989-10-01,4136.348
1990-01-01,4230.723
1990-04-01,4294.345
1990-07-01,4349.917
1990-10-01,4372.03
1991-01-01,4403.035
1991-04-01,4457.005
1991-07-01,4503.441
1991-10-01,4574.456
1992-01-01,4701.352
1992-04-01,4781.976
1992-07-01,4833.466
1992-10-01,4884.216
1993-01-01,4940.854
1993-04-01,4982.925
1993-07-01,5007.67
1993-10-01,5069.477
1994-01-01,5123.106
1994-04-01,5206.218
1994-07-01,5274.536
1994-10-01,5372.994
1995-01-01,5450.272
1995-04-01,5493.514
1995-07-01,5564.849
1995-10-01,5621.635
1996-01-01,5707.244
1996-04-01,5799.819
1996-07-01,5871.076
1996-10-01,5941.63
1997-01-01,6027.734
1997-04-01,6094.275
1997-07-01,6182.668
1997-10-01,6290.72
1998-01-01,6424.437
1998-04-01,6525.723
1998-07-01,6612.147
1998-10-01,6682.773
1999-01-01,6760.026
1999-04-01,6812.91
1999-07-01,6894.656
1999-10-01,7037.58
2000-01-01,7236.3
2000-04-01,7344.901
2000-07-01,7476.959
2000-10-01,7543.832
2001-01-01,7659.062
2001-04-01,7688.956
2001-07-01,7876.688
2001-10-01,7784.367
2002-01-01,7988.201
2002-04-01,8090.544
2002-07-01,8120.812
2002-10-01,8197.205
2003-01-01,8278.077
2003-04-01,8405.182
2003-07-01,8595.109
2003-10-01,8664.765
2004-01-01,8794.462
2004-04-01,8943.525
2004-07-01,9042.912
2004-10-01,9228.235
2005-01-01,9186.562
2005-04-01,9320.842
2005-07-01,9471.449
2005-10-01,9624.378
2006-01-01,9889.811
2006-04-01,9981.059
2006-07-01,10081.153
2006-10-01,10195.524
2007-01-01,10357.98
2007-04-01,10460.498
2007-07-01,10547.308
2007-10-01,10662.159
2008-01-01,10831.198
2008-04-01,11175.407
2008-07-01,11029.709
2008-10-01,10941.369
2009-01-01,10858.944
2009-04-01,10985.194
2009-07-01,10933.02
2009-10-01,10992.954
2010-01-01,11041.455
2010-04-01,11197.645
2010-07-01,11286.659
2010-10-01,11425.72
2011-01-01,11652.203
2011-04-01,11751.673
2011-07-01,11876.634
2011-10-01,11924.909
2012-01-01,12189.993
2012-04-01,12321.331
2012-07-01,12355.423
2012-10-01,12748.128
2013-01-01,12259.292
2013-04-01,12335.893
2013-07-01,12453.821
2013-10-01,12534.347
2014-01-01,12734.348
2014-04-01,12955.737
2014-07-01,13129.179
2014-10-01,13311.253
2015-01-01,13397.59
2015-04-01,13582.046
2015-07-01,13687.817
2015-10-01,13792.677
2016-01-01,13822.103
2016-04-01,13959.416
2016-07-01,14044.272
2016-10-01,14048.52
2017-01-01,14226.413
2017-04-01,14331.627
2017-07-01,14410.811
2017-10-01,14547.074
